date	AAPL	AMZN	MSFT	RBLX	SPY	TSLA
2024-01-31	182.67481994628906	155.1999969482422	391.7392272949219	38.810001373291016	471.23065185546875	187.2899932861328
2024-02-29	179.05899047851562	176.75999450683594	407.56329345703125	39.900001525878906	495.82269287109375	201.8800048828125
2024-03-31	170.09246826171875	180.3800048828125	415.30584716796875	38.18000030517578	510.4511413574219	175.7899932861328
2024-04-30	168.95176696777344	175.0	384.31982421875	35.560001373291016	491.39190673828125	183.27999877929688
2024-05-31	190.69442749023438	176.44000244140625	409.7878112792969	33.619998931884766	516.2463989257812	178.0800018310547
2024-06-30	209.19911193847656	193.25	441.9941101074219	37.209999084472656	532.740966796875	197.8800048828125
2024-07-31	220.5818328857422	186.97999572753906	413.71124267578125	41.52000045776367	540.9315185546875	232.07000732421875
2024-08-31	227.4551239013672	178.5	412.5146789550781	43.9900016784668	553.5706787109375	214.11000061035156
2024-09-30	231.69602966308594	186.3300018310547	426.29571533203125	44.2599983215332	563.4699096679688	261.6300048828125
2024-10-31	224.64572143554688	186.39999389648438	402.5686340332031	51.720001220703125	560.154541015625	249.85000610351562
2024-11-30	236.00180053710938	207.88999938964844	419.5193786621094	50.130001068115234	593.5585327148438	345.1600036621094
2024-12-31	249.2925262451172	219.38999938964844	418.4134216308594	57.86000061035156	577.3342895507812	403.8399963378906
2025-01-31	234.93743896484375	237.67999267578125	412.0206298828125	71.06999969482422	594.8347778320312	404.6000061035156
2025-02-28	240.7511444091797	212.27999877929688	394.0829162597656	63.63999938964844	587.283447265625	292.9800109863281
2025-03-31	221.37301635742188	190.25999450683594	373.3883056640625	58.290000915527344	552.8972778320312	259.1600036621094
2025-04-30	211.7758331298828	184.4199981689453	393.15234375	67.05000305175781	549.7523803710938	282.1600036621094
2025-05-31	200.16554260253906	205.00999450683594	457.9051818847656	86.9800033569336	584.3014526367188	346.4599914550781
2025-06-30	204.7389373779297	219.38999938964844	495.66595458984375	105.19999694824219	612.5157470703125	317.6600036621094
2025-07-31	207.1339111328125	234.11000061035156	531.62939453125	137.7899932861328	628.4754028320312	308.2699890136719
2025-08-31	231.65228271484375	229.0	504.9134216308594	124.58999633789062	641.3713989257812	333.8699951171875
2025-09-30	254.38340759277344	219.57000732421875	516.982421875	138.52000427246094	662.380859375	444.7200012207031
2025-10-31	270.108154296875	244.22000122070312	516.8426513671875	113.72000122070312	680.050537109375	456.55999755859375
2025-11-30	278.5799560546875	233.22000122070312	491.09088134765625	95.02999877929688	681.3765869140625	430.1700134277344
2025-12-31	271.8599853515625	230.82000732421875	483.6199951171875	81.02999877929688	679.910888671875	449.7200012207031
