buy_month	sell_month	pints_purchased	expected_profit
2025-07	2025-12	257838	114385.70329199985
2025-06	2025-12	249041	76364.43799399996
2025-08	2025-12	246232	64225.67748799978
2025-09	2025-12	243084	50618.35365599979
2025-07	2025-11	264662	48634.289120000096
2025-06	2025-11	255401	11942.550760000091
2025-10	2025-12	233404	8783.926135999727
2025-08	2025-11	252448	242.35007999990603
2025-05	2025-12	228916	-10613.919256000183
2025-09	2025-11	249140	-12865.589599999867
2025-07	2025-10	271857	-49597.591079999926
2025-10	2025-11	238982	-53111.35967999994
2025-05	2025-11	234279	-71745.60095999987
2025-11	2025-12	212657	-80887.4924620001
2025-06	2025-10	262095	-83723.62679999993
2025-04	2025-12	210749	-89131.23157400027
2025-07	2025-09	279454	-91096.41492000011
2025-08	2025-10	258986	-94592.04664000012
2025-03	2025-12	208359	-99463.50239400017
2025-07	2025-08	287488	-104450.14015999997
2025-09	2025-10	255506	-106760.62703999999
2025-06	2025-09	269150	-124611.06699999998
2025-08	2025-09	265872	-135270.35616000017
2025-06	2025-08	276594	-138385.51007999998
2025-04	2025-11	215287	-146997.96359999996
2025-03	2025-11	212793	-156879.51131999987
2025-03	2025-04	250037	-157257.27063199997
2025-05	2025-10	239900	-161318.35599999997
2025-06	2025-07	284462	-186277.09608000002
2025-02	2025-12	187765	-188472.12299000012
2025-05	2025-09	245796	-200564.62008000014
2025-05	2025-08	251990	-215028.10679999992
2025-01	2025-02	208281	-226605.5623799999
2025-04	2025-05	247221	-228283.87140000012
2025-04	2025-10	220023	-230804.1270000001
2025-05	2025-06	265364	-232071.43256000002
2025-03	2025-05	243938	-238532.33392
2025-03	2025-10	217419	-239908.82136
2025-02	2025-11	191358	-241807.62312000003
2025-02	2025-03	225947	-247714.73397999993
2025-01	2025-12	172378	-254975.67674800003
2025-02	2025-04	220955	-255277.26588000002
2025-05	2025-07	258504	-260530.67136000007
2025-04	2025-09	224973	-268289.30142000003
2025-03	2025-09	222251	-277142.55197999993
2025-04	2025-08	230151	-283058.11188000004
2025-03	2025-08	227303	-291929.7889599999
2025-04	2025-06	241256	-301835.3816
2025-01	2025-11	175401	-305029.35503999994
2025-03	2025-06	238129	-310886.9346599999
2025-02	2025-10	195091	-317967.11543999997
2025-01	2025-03	204031	-320683.68394
2025-02	2025-05	216178	-325183.59471999994
2025-01	2025-04	199952	-326068.92467199994
2025-04	2025-07	235573	-326127.2612000002
2025-03	2025-07	232590	-334659.79560000007
2025-02	2025-09	198973	-352854.73874000006
2025-02	2025-08	203012	-367597.8886400001
2025-01	2025-10	178533	-375854.81292000005
2025-02	2025-06	211604	-387645.8317600001
2025-01	2025-05	196032	-388072.78848000005
2025-02	2025-07	207219	-407235.06756
2025-01	2025-09	181778	-408778.73084
2025-01	2025-08	185144	-423261.40128
2025-01	2025-06	192263	-443616.11042
2025-01	2025-07	188636	-460392.56703999994
